ToA 	 ToA_mid 	 ToA_start 	 ToA_end 	 ToA_lenInt 	 ToA_exp 	 nbr_events 	 count_rate 	 phShift 	 phShift_LL 	 phShift_UL 	 Hpower 	 redChi2
0	58136.13012675689	58135.615118307	58136.645134554	1.030016247	595.270119142	10000.0	16.799096206	0.005647206262753723	0.04084070449666731	0.04084070449666731	265.5627636981965	1.1230233684805095
1	58137.12970077095	58136.645134772	58137.614267535	0.969132763	542.643730505	10000.0	18.428297312	-0.006347115389605751	0.04084070449666731	0.04084070449666731	282.9021269303324	1.6341784226463372
2	58137.64694672299	58137.614267622	58137.679626628	0.065359006	568.295077491	10000.0	17.596492379	-0.049636731952444	0.04084070449666731	0.04084070449666731	216.44954413720313	1.4453501338299224
3	58137.80766851334	58137.679626747	58137.935710454	0.256083707	565.812428389	10000.0	17.673701563	-0.02976465458950539	0.034557519189487726	0.034557519189487726	289.3337511545962	1.3979539892123833
4	58138.00173046831	58137.935711593	58138.067748326	0.132036733	535.568601661	10000.0	18.671744327	0.031131427494980546	0.04084070449666731	0.04084070449666731	219.99020273429863	1.6188073722460847
5	58138.29075726433	58138.067748735	58138.513766413	0.446017678	379.015909019	10000.0	26.384116767	0.05266307514628821	0.053407075111026485	0.053407075111026485	160.21978887235966	3.2804330549468714
6	58138.60945397057	58138.513766859	58138.705141027	0.191374168	527.601039642	10000.0	18.953715495	-0.024756236153222755	0.04084070449666731	0.04084070449666731	267.981180024767	1.4369847080984488
7	58138.7083555446	58138.705143761	58138.711567328	0.006423566	554.996144772	10000.0	18.018143178	0.01885572625681009	0.04084070449666731	0.04084070449666731	251.31183742151575	1.2052922092991376
8	58138.74320715037	58138.711568427	58138.774845874	0.063277446	525.437629782	10000.0	19.031754547	-0.02551014326410561	0.04084070449666731	0.04084070449666731	217.7541682176794	0.4963613135461941
9	58138.871491629456	58138.774846426	58138.968137798	0.193291372	561.254898668	10000.0	17.817216426	0.03331717343749396	0.04084070449666731	0.04084070449666731	303.02626655969226	0.8121365380506985
10	58139.257439608	58138.96813781	58139.546741406	0.578603596	516.055012448	10000.0	19.377779033	0.0032506243292016457	0.04084070449666731	0.04084070449666731	200.08713784299502	1.3181288590509874
11	58139.57914250063	58139.546741999	58139.611543272	0.064801273	452.108037332	10000.0	22.118607002	-0.0216831659254626	0.04084070449666731	0.0471238898038469	184.21907561858168	0.47214913119671753
12	58139.64373256543	58139.611544006	58139.675921125	0.064377118	517.454158072	10000.0	19.325383406	0.023296723945748443	0.04084070449666731	0.04084070449666731	199.9129797101255	1.6517515841659303
13	58139.77285204576	58139.675921391	58139.869782536	0.193861145	554.484280595	10000.0	18.034776368	0.0004952550912178388	0.04084070449666731	0.04084070449666731	321.0741489466491	1.010165529032074
14	58139.960930272646	58139.869782763	58140.052077782	0.182295018	596.115401597	10000.0	16.775275346	0.026821161731718224	0.034557519189487726	0.034557519189487726	374.0854958400538	0.8180888571525536
15	58140.05522838852	58140.052079335	58140.058377442	0.006298106	544.156373804	10000.0	18.377070418	0.012553529097016458	0.04084070449666731	0.04084070449666731	277.03577799411045	0.8022079187982813
16	58140.117337206524	58140.058378666	58140.176295747	0.11791708	534.55830426	10000.0	18.707033303	0.04173449163654608	0.04084070449666731	0.04084070449666731	243.74673140093145	0.8991762243832385
