ToA	ToA_tstart	ToA_tend	ToA_lenInt	ToA_exposure	Events	ct_rate
0	58135.615118307	58136.645134554	1.030016247	595.270119142	10000.0	16.799096206
1	58136.645134772	58137.614267535	0.969132763	542.643730505	10000.0	18.428297312
2	58137.614267622	58137.679626628	0.065359006	568.295077491	10000.0	17.596492379
3	58137.679626747	58137.935710454	0.256083707	565.812428389	10000.0	17.673701563
4	58137.935711593	58138.067748326	0.132036733	535.568601661	10000.0	18.671744327
5	58138.067748735	58138.513766413	0.446017678	379.015909019	10000.0	26.384116767
6	58138.513766859	58138.705141027	0.191374168	527.601039642	10000.0	18.953715495
7	58138.705143761	58138.711567328	0.006423566	554.996144772	10000.0	18.018143178
8	58138.711568427	58138.774845874	0.063277446	525.437629782	10000.0	19.031754547
9	58138.774846426	58138.968137798	0.193291372	561.254898668	10000.0	17.817216426
10	58138.96813781	58139.546741406	0.578603596	516.055012448	10000.0	19.377779033
11	58139.546741999	58139.611543272	0.064801273	452.108037332	10000.0	22.118607002
12	58139.611544006	58139.675921125	0.064377118	517.454158072	10000.0	19.325383406
13	58139.675921391	58139.869782536	0.193861145	554.484280595	10000.0	18.034776368
14	58139.869782763	58140.052077782	0.182295018	596.115401597	10000.0	16.775275346
15	58140.052079335	58140.058377442	0.006298106	544.156373804	10000.0	18.377070418
16	58140.058378666	58140.176295747	0.11791708	534.55830426	10000.0	18.707033303
17	58140.176295996	58140.182997379	0.006701384	574.999767286	10000.0	17.391311386
18	58140.182997987	58140.618840483	0.435842496	458.827803237	10000.0	21.794668783
19	58140.618840665	58140.62566105	0.006820386	589.281343413	10000.0	16.969822839
20	58140.625661684	58141.086524428	0.460862744	543.678186648	10000.0	18.393233802
21	58141.086524962	58141.142223921	0.055698959	566.616854724	10000.0	17.648610197
22	58141.142224003	58141.149016356	0.006792353	584.859380499	10000.0	17.09812706
23	58141.149016642	58141.86170343	0.712686787	544.459350058	10000.0	18.366844098
24	58141.861703431	58142.309966655	0.448263224	580.012014415	10000.0	17.241022171
25	58142.309966657	58142.377523724	0.067557068	577.218556171	10000.0	17.324460368
26	58142.377523761	58142.441210519	0.063686758	588.800730952	10000.0	16.983674568
27	58142.44121168	58142.551883498	0.110671818	587.528804387	10000.0	17.020442105
28	58142.551887668	58142.95243496	0.400547292	571.124331281	10000.0	17.509322318
29	58142.952435433	58143.081038297	0.128602864	528.862723731	10000.0	18.908498465
30	58143.081038693	58143.515900175	0.434861483	558.043320081	10000.0	17.919755761
31	58143.515901378	58143.643432627	0.127531249	585.265063145	10000.0	17.086275313
32	58143.643433244	58143.788040573	0.14460733	574.713511672	10000.0	17.399973721
33	58143.788040619	58143.839357651	0.051317033	571.002353216	10000.0	17.513062676
34	58143.839358981	58144.159407495	0.320048514	598.661895655	10000.0	16.703919312
35	58144.159407794	58144.34996765	0.190559857	603.237929475	10000.0	16.577206955
36	58144.349968715	58144.364789728	0.014821013	595.570010017	10000.0	16.790637258
37	58144.364791084	58144.418029742	0.053238658	563.042162033	10000.0	17.76065928
38	58144.418029839	58144.555840096	0.137810257	569.41154825	10000.0	17.561990147
39	58144.555840908	58144.684515868	0.12867496	583.078857441	10000.0	17.150338882
40	58144.684515977	58144.801071763	0.116555786	581.933672167	10000.0	17.184088975
41	58144.801072476	58144.80466229	0.003589813	310.159864649	5136.0	16.55920248
42	58359.458442143	58359.525038917	0.066596775	611.758924671	10000.0	16.34630832
43	58359.525040426	58359.591396696	0.066356269	601.979809161	10000.0	16.611852836
44	58359.591396773	58359.656875251	0.065478478	533.139054012	8938.0	16.764856997
45	58361.707973516	58361.715012068	0.007038552	608.13085204	10000.0	16.443829427
46	58361.715012175	58361.777238935	0.06222676	607.210268872	10000.0	16.468759691
47	58361.777239195	58361.785764906	0.008525711	596.618029755	10000.0	16.76114281
48	58361.785767119	58361.909470078	0.12370296	624.547044304	10000.0	16.011604076
49	58361.909471076	58361.971778865	0.0623077890049899	671.145832236	10818.0	16.11870249414882
50	58364.34388173	58364.351111756	0.007230026	624.674207415	10000.0	16.00834464
51	58364.351112297	58364.358240416	0.007128118	615.869410825	10000.0	16.237208447
52	58364.358240919	58364.542783639	0.18454272	620.92985725	10000.0	16.104878648
53	58364.542784635	58364.549165435	0.006380799	551.301073283	10000.0	18.138909
54	58364.549165726	58364.552646321	0.003480596	300.723478873	5824.0	19.366628844
55	58366.335711321	58366.342845004	0.007133684	614.350166149	10000.0	16.27736192
56	58366.342845353	58366.349798391	0.006953037	598.742355639	10000.0	16.701674611
57	58366.349798851	58366.405427565	0.055628714	609.173621982	10000.0	16.415681243
58	58366.405427832	58366.412116971	0.006689139	575.941506797	10000.0	17.362874323
59	58366.412117121	58366.415910788	0.003793667	327.772836154	5463.0	16.667030935
60	58559.044224448	58559.050111856	0.005887408	508.67204417	10000.0	19.659032012
61	58559.050114056	58559.054489894	0.004375838	378.072411194	7490.0	19.811019737
62	58569.999822002	58570.045482174	0.045660173	634.092158242	10000.0	15.770578251
63	58570.045484286	58570.067493295	0.022009009000612423	739.5908712400001	11655.0	15.75871262507499
64	58574.030513066	58574.037413427	0.006900362	596.191242943	10000.0	16.773141368
65	58574.037414171	58574.043487358	0.006073186	524.723304925	8801.0	16.772649351
66	58585.307321992	58585.315932627	0.008610635006334633	743.933129171	12415.0	16.688327906346398
67	58600.055716557	58600.062788193	0.007071637	610.989401839	10000.0	16.366896005
68	58600.062788342	58600.069395736	0.006607395	568.878923776	9263.0	16.282902412
69	58611.378742219	58611.387081923	0.008339704	607.546369568	10000.0	16.459649009
70	58611.38708246	58611.394263345	0.007180885	620.428487007	10000.0	16.117893052
71	58611.39426398	58611.402491442	0.008227461999922525	710.849612555	11441.0	16.094824837672377
72	58624.004520022	58624.011237295	0.006717273	580.372356833	10000.0	17.230317541
73	58624.011237933	58624.017848774	0.006610841	559.176505823	8936.0	15.980642797
74	58638.350188675	58638.35911737	0.008928695	598.431283096	5145.0	8.597478349
75	58651.999151612	58652.018870092	0.01971848	656.612086133	10000.0	15.229692251
76	58652.018870282	58652.026824891	0.007954608998261392	621.2472137059999	10561.0	16.999673828714997
77	58665.425027019	58665.431924468	0.006897449	595.9396224	10000.0	16.780223405
78	58665.431925916	58665.498112869	0.06618695300130639	815.180885699	11188.0	13.724561255391228
79	58680.958251704	58680.969536339	0.011284634994808584	974.8603523940001	14298.0	14.666716073628269
80	58694.670006488	58694.676672459	0.006665972	575.939955306	10000.0	17.362921096
